"eh1" "eh2" "p.val" "adj.pval"
1351 819 0.159802245751944 1
490 500 0.967905441231419 1
545 603 0.106830479546351 0.861536125373799
964 1240 0.611065808786689 1
384 429 0.778142842285947 1
290 315 0.863507438880932 1
367 403 0.665885058101189 1
448 463 0.655228685080264 1
703 513 0.108490801763581 0.86792641410865
539 469 0.77136908812339 1
575 657 0.754056466275421 1
616 587 0.472701494226292 1
580 415 4.73321146295028e-07 3.64093189457714e-05
200 234 0.491099878103646 1
246 234 0.834015640372164 1
530 413 0.000197723650641924 0.00681805691868704
616 461 0.147198968811888 0.994587627107354
364 781 1.66946038888109e-27 8.34730194440543e-25
604 659 0.799531826227953 1
556 407 0.132252096950865 0.944657835363324
269 256 0.91122290634062 1
697 1119 0.178863033185382 1
210 195 0.810130545973567 1
343 427 0.621489474680337 1
383 390 0.969336809581881 1
702 628 0.532457267197694 1
496 600 0.0462017276736122 0.543549737336615
1126 956 0.551862269456223 1
310 386 0.402254062845847 1
466 543 0.620000611112009 1
975 848 0.501883443785286 1
447 412 0.668702202550255 1
905 936 0.851622709395321 1
541 515 0.673339111304819 1
457 504 0.261988208674659 1
1016 1088 0.891309786883526 1
762 639 0.529427301787975 1
274 285 0.88203905869737 1
197 196 0.9871268826888 1
709 785 0.0526192861144016 0.587546055914309
2818 2355 0.180535008447583 1
550 603 0.750801828630593 1
556 489 0.645291621500356 1
121 132 0.782297558395255 1
1419 1568 0.827485891142033 1
849 823 0.881493638431706 1
884 837 0.874013943854731 1
537 395 0.00817029947551533 0.145898204919917
376 484 0.551361030091127 1
445 284 2.70529938454433e-06 0.00016908121153402
93 83 0.550833526971616 1
489 548 0.728412975057658 1
273 361 0.342567587314142 1
1216 1276 0.802717104974689 1
317 295 0.786473518821645 1
607 573 0.691506554543171 1
424 426 0.9826578736159 1
402 551 0.375680561656983 1
3021 2956 0.957705425248827 1
515 612 0.673468997000371 1
189 307 0.00229624623676574 0.0478384632659529
655 797 0.632152774126515 1
205 179 0.740513168636541 1
252 238 0.88578288383513 1
681 843 0.24531286814857 1
621 617 0.988443455631502 1
710 713 0.971544846238116 1
943 1001 0.816351554933726 1
368 650 0.128804082295376 0.933362915183883
533 641 0.022882120126296 0.327975042477951
508 514 0.971586458457843 1
441 483 0.198260240902173 1
620 541 0.163577607372633 1
517 467 0.682868454101022 1
505 526 0.902991395365824 1
525 551 0.902718679371629 1
844 752 0.742223232803506 1
771 756 0.964378675680127 1
226 189 0.311064548490479 1
388 475 0.0704618109536098 0.69367825798933
611 788 0.427802446413932 1
373 446 0.40381813469829 1
632 656 0.909278072528947 1
346 337 0.90333644074492 1
317 322 0.958599052782604 1
524 593 0.714198479277487 1
592 430 0.00755902685974601 0.137436851995382
328 337 0.777126817497582 1
376 318 0.382099690293174 1
467 508 0.717566526569578 1
461 455 0.9649239431043 1
897 816 0.722381890219532 1
1049 969 0.533669855607686 1
366 359 0.953670837352981 1
309 294 0.915008335593599 1
581 587 0.920418741368135 1
375 335 0.680135725265043 1
299 283 0.682276786541504 1
1316 885 0.392511602386456 1
1149 1421 0.273168964534901 1
575 465 0.655548072590846 1
1085 1161 0.851871738502451 1
353 393 0.792716670758126 1
635 630 0.965819268690908 1
531 643 0.702097618038737 1
492 564 0.454590105418234 1
755 758 0.986954008727626 1
492 428 0.533511781151179 1
157 134 0.365258807866612 1
349 282 0.0309272913041214 0.406938043475281
222 192 0.561991989740951 1
300 321 0.881723283842249 1
313 294 0.796964187316743 1
759 631 0.478684165475224 1
900 638 0.000523839297661168 0.0158739181109445
177 186 0.757084982152872 1
339 652 0.0727141248630907 0.704373239284216
399 324 0.128402371929003 0.933362915183883
501 613 0.687096646919967 1
474 672 0.123571082745988 0.922100946973743
674 674 1 1
187 188 0.990862040425378 1
2385 1712 0.000368313750812216 0.0118810887358779
248 319 0.595471254198577 1
320 224 0.238457515123204 1
630 604 0.921791982790175 1
525 485 0.750322737595964 1
561 714 0.365862974738742 1
494 688 0.155853574922487 1
401 356 0.749090325320191 1
512 594 0.0931071872938836 0.806621852678885
272 294 0.858404519220548 1
490 489 0.999936657516334 1
379 294 0.168389375544535 1
341 487 0.216139111368952 1
771 966 0.510006455441166 1
459 402 0.786529636995035 1
365 518 0.429397875109915 1
271 328 0.632137818970403 1
893 866 0.721457944997952 1
737 734 0.973653191426249 1
733 726 0.98283582070873 1
743 826 0.824102581614477 1
510 695 0.0851901105146176 0.77210071587709
819 854 0.911533589528999 1
289 258 0.772765128067318 1
190 254 0.140699466575844 0.957139228407099
484 592 0.601981366024638 1
279 379 0.0428926555783875 0.523081165590091
1306 1207 0.705952557589135 1
689 575 0.0498643925208095 0.579818517683832
639 508 0.410524978369455 1
511 492 0.862587915988919 1
907 862 0.722598198714283 1
885 888 0.990881376346123 1
323 378 0.730026562290047 1
548 884 0.0259005896287629 0.350007967956256
801 620 0.418856378389644 1
198 204 0.898529367095582 1
602 444 0.0941985120837392 0.806621852678885
388 261 0.00135900540453103 0.0316047768495589
2634 2670 0.963255666168265 1
557 786 0.163345895746932 1
973 1087 0.742495028013935 1
496 591 0.010968385668799 0.187281621397721
386 361 0.481167259892875 1
415 390 0.378778653459347 1
816 637 0.573475911474752 1
396 396 1 1
475 472 0.940179293702605 1
164 179 0.559761262635266 1
591 464 0.294380689325089 1
570 513 0.744077406243223 1
384 425 0.484894008693207 1
271 248 0.737246236470856 1
293 332 0.702961669790582 1
