"","eh1","eh2","p.val","adj.pval"
"518",313,294,0.504349913624439,0.99590037707584
"519",759,631,0.469886485994189,0.99590037707584
"520",900,638,0.0028036725510787,0.434786644390243
"521",177,186,0.761735452449288,1
"522",339,652,0.0192605795142104,0.941455693917085
"523",399,324,0.417253730339759,0.99590037707584
"524",501,613,0.56115000732605,0.99590037707584
"525",474,672,0.0417968544955469,0.99590037707584
"526",674,674,1,1
"527",187,188,0.999936657516334,1
"528",2385,1712,0.215071551328145,0.99590037707584
"529",248,319,0.400295707752495,0.99590037707584
"530",320,224,0.0497115517672449,0.99590037707584
"531",630,604,0.863458802063176,1
"532",525,485,0.710954025081563,1
"533",561,714,0.428721753271071,0.99590037707584
"534",494,688,0.277112456335173,0.99590037707584
"535",401,356,0.508587831280338,0.99590037707584
"536",512,594,0.558445527799745,0.99590037707584
"537",272,294,0.55603311110942,0.99590037707584
"538",490,489,0.999936657516334,1
"539",379,294,0.335760740333713,0.99590037707584
"540",341,487,0.294851263768828,0.99590037707584
"541",771,966,0.356058330485053,0.99590037707584
"542",459,402,0.170867296652409,0.99590037707584
"543",365,518,0.198101123859252,0.99590037707584
"544",271,328,0.0707520737198596,0.99590037707584
"545",893,866,0.860814488222548,1
"546",737,734,0.991658078342665,1
"547",733,726,0.936705505114879,1
"548",743,826,0.068343540541469,0.99590037707584
"549",510,695,0.285010076016281,0.99590037707584
"550",819,854,0.837005924341773,1
"551",289,258,0.427553243560563,0.99590037707584
"552",190,254,0.358009515009656,0.99590037707584
"553",484,592,0.423136477016342,0.99590037707584
"554",279,379,0.205574009144426,0.99590037707584
"555",1306,1207,0.17749967019398,0.99590037707584
"556",689,575,0.564275038624267,0.99590037707584
"557",639,508,0.0830018937655761,0.99590037707584
"558",511,492,0.756290190202995,1
"559",907,862,0.846707772180011,1
"560",885,888,0.973371062238534,1
"561",323,378,0.655901494936516,1
"562",548,884,0.0148457186297071,0.870428348091007
"563",801,620,0.259765350954907,0.99590037707584
"564",198,204,0.883726971759349,1
"565",602,444,0.304835203421108,0.99590037707584
"566",388,261,0.120473895192051,0.99590037707584
"567",2634,2670,0.961349376282496,1
"568",557,786,0.30415628284854,0.99590037707584
"569",973,1087,0.318562978154022,0.99590037707584
"570",496,591,0.0379579657723052,0.99590037707584
"571",386,361,0.531897316606034,0.99590037707584
"572",415,390,0.399953230995164,0.99590037707584
"573",816,637,0.478071398732732,0.99590037707584
